type,entry_time,entry_price,exit_time,exit_price,contracts,pnl,pnl_usd,result,equity_after,day
long,2025-01-23 21:16:00-06:00,6209.5,2025-01-23 21:18:00-06:00,6210.828571428571,5,-0.6714285714288053,-16.785714285720132,take_profit,4588.328571428577,20250124
long,2025-01-23 22:24:00-06:00,6203.75,2025-01-23 22:27:00-06:00,6203.25,5,-2.5,-62.5,stop_loss,4525.828571428577,20250124
short,2025-01-23 22:59:00-06:00,6205.0,2025-01-23 23:36:00-06:00,6205.5,5,-2.5,-62.5,stop_loss,4463.328571428577,20250124
short,2025-01-23 23:46:00-06:00,6206.0,2025-01-24 00:00:00-06:00,6205.828571428571,5,-1.8285714285711947,-45.71428571427987,take_profit,4417.614285714297,20250124
long,2025-01-24 01:10:00-06:00,6204.5,2025-01-24 01:15:00-06:00,6204.0,5,-2.5,-62.5,stop_loss,4355.114285714297,20250124
long,2025-01-24 01:54:00-06:00,6201.75,2025-01-24 02:09:00-06:00,6202.178571428572,5,-1.5714285714284415,-39.28571428571104,take_profit,4315.828571428586,20250124
long,2025-01-24 03:10:00-06:00,6205.0,2025-01-24 03:12:00-06:00,6205.0,5,-2.0,-50.0,take_profit,4265.828571428586,20250124
long,2025-01-24 04:16:00-06:00,6201.75,2025-01-24 04:21:00-06:00,6202.221428571429,5,-1.5285714285710128,-38.21428571427532,take_profit,4227.61428571431,20250124
long,2025-01-24 04:40:00-06:00,6198.0,2025-01-24 04:44:00-06:00,6198.5142857142855,5,-1.4857142857144936,-37.14285714286234,take_profit,4190.471428571448,20250124
short,2025-01-24 06:15:00-06:00,6203.0,2025-01-24 06:17:00-06:00,6203.5,5,-2.5,-62.5,stop_loss,4127.971428571448,20250124
short,2025-01-24 08:12:00-06:00,6205.25,2025-01-24 08:20:00-06:00,6205.75,5,-2.5,-62.5,stop_loss,4065.471428571448,20250124
long,2025-01-24 09:05:00-06:00,6209.75,2025-01-24 09:11:00-06:00,6208.464285714285,5,-3.2857142857146755,-82.14285714286689,stop_loss,3983.328571428581,20250124
long,2025-01-24 11:59:00-06:00,6199.5,2025-01-24 12:09:00-06:00,6198.614285714286,5,-2.88571428571413,-72.14285714285325,stop_loss,3911.185714285728,20250124
long,2025-01-26 18:04:00-06:00,6158.25,2025-01-26 18:06:00-06:00,6157.75,5,-2.5,-62.5,stop_loss,4643.085714285715,20250127
long,2025-01-26 18:42:00-06:00,6150.75,2025-01-26 18:51:00-06:00,6149.978571428572,5,-2.7714285714282596,-69.28571428570649,stop_loss,4573.800000000008,20250127
short,2025-01-26 21:05:00-06:00,6138.25,2025-01-26 21:14:00-06:00,6138.75,5,-2.5,-62.5,stop_loss,4511.300000000008,20250127
long,2025-01-26 22:21:00-06:00,6133.0,2025-01-26 22:23:00-06:00,6133.9857142857145,5,-1.0142857142855064,-25.35714285713766,take_profit,4485.942857142871,20250127
long,2025-01-26 23:11:00-06:00,6128.0,2025-01-26 23:21:00-06:00,6128.771428571428,5,-1.2285714285717404,-30.71428571429351,take_profit,4455.228571428577,20250127
long,2025-01-26 23:31:00-06:00,6121.5,2025-01-26 23:41:00-06:00,6120.657142857143,5,-2.842857142856701,-71.07142857141753,stop_loss,4384.15714285716,20250127
short,2025-01-27 00:01:00-06:00,6117.75,2025-01-27 00:07:00-06:00,6116.55,5,-0.8000000000001819,-20.000000000004547,take_profit,4364.157142857155,20250127
long,2025-01-27 00:39:00-06:00,6102.5,2025-01-27 00:42:00-06:00,6104.685714285714,5,0.1857142857143117,4.6428571428577925,take_profit,4368.800000000013,20250127
long,2025-01-27 01:57:00-06:00,6089.0,2025-01-27 01:59:00-06:00,6088.428571428572,5,-2.5714285714284415,-64.28571428571104,stop_loss,4304.514285714302,20250127
short,2025-01-27 03:41:00-06:00,6076.75,2025-01-27 03:43:00-06:00,6074.35,5,0.3999999999996362,9.999999999990905,take_profit,4314.514285714293,20250127
