date,open,high,low,close,volume,average,barCount
2025-03-30 17:00:00-05:00,5590.0,5600.0,5585.0,5586.75,3526.0,5591.25,1543
2025-03-30 17:01:00-05:00,5587.5,5593.5,5583.75,5585.5,2263.0,5589.5,1061
2025-03-30 17:02:00-05:00,5585.25,5587.25,5580.25,5584.5,1840.0,5583.45,883
2025-03-30 17:03:00-05:00,5584.75,5585.5,5581.5,5583.0,646.0,5583.7,353
2025-03-30 17:04:00-05:00,5583.0,5586.75,5582.25,5585.75,762.0,5584.95,390
2025-03-30 17:05:00-05:00,5585.75,5588.0,5584.75,5585.75,690.0,5586.225,361
2025-03-30 17:06:00-05:00,5586.25,5588.25,5585.5,5588.0,475.0,5587.25,252
2025-03-30 17:07:00-05:00,5588.25,5588.25,5585.25,5585.5,412.0,5586.05,247
2025-03-30 17:08:00-05:00,5585.25,5586.25,5584.0,5585.5,623.0,5585.075,275
2025-03-30 17:09:00-05:00,5585.25,5587.0,5584.5,5584.5,413.0,5585.95,198
2025-03-30 17:10:00-05:00,5584.75,5586.75,5584.75,5586.75,434.0,5585.725,194
2025-03-30 17:11:00-05:00,5587.0,5590.25,5586.5,5588.25,1031.0,5588.375,335
2025-03-30 17:12:00-05:00,5588.5,5590.5,5586.75,5587.75,894.0,5588.65,314
2025-03-30 17:13:00-05:00,5588.0,5588.25,5586.0,5586.25,370.0,5586.75,186
2025-03-30 17:14:00-05:00,5586.0,5587.75,5585.5,5587.25,288.0,5586.5,118
2025-03-30 17:15:00-05:00,5587.5,5589.25,5586.75,5589.0,559.0,5588.225,196
2025-03-30 17:16:00-05:00,5589.0,5590.75,5589.0,5589.75,701.0,5590.0,269
2025-03-30 17:17:00-05:00,5589.75,5591.0,5589.5,5591.0,352.0,5590.3,133
2025-03-30 17:18:00-05:00,5590.75,5591.75,5589.5,5591.25,653.0,5590.675,204
2025-03-30 17:19:00-05:00,5591.25,5591.25,5589.75,5590.5,430.0,5590.6,169
2025-03-30 17:20:00-05:00,5590.5,5591.5,5589.5,5590.25,346.0,5590.625,169
2025-03-30 17:21:00-05:00,5590.5,5590.5,5588.25,5589.0,625.0,5589.375,255
2025-03-30 17:22:00-05:00,5589.25,5590.25,5588.5,5588.75,214.0,5589.55,92
2025-03-30 17:23:00-05:00,5588.75,5590.5,5588.5,5590.0,188.0,5589.775,92
2025-03-30 17:24:00-05:00,5589.75,5589.75,5589.0,5589.75,126.0,5589.45,65
2025-03-30 17:25:00-05:00,5589.25,5590.75,5589.0,5590.75,284.0,5589.875,119
2025-03-30 17:26:00-05:00,5590.25,5591.5,5589.75,5590.25,218.0,5590.65,91
2025-03-30 17:27:00-05:00,5590.0,5590.25,5588.75,5589.5,325.0,5589.575,122
2025-03-30 17:28:00-05:00,5589.5,5591.5,5589.25,5591.25,164.0,5590.675,71
2025-03-30 17:29:00-05:00,5591.0,5591.25,5590.25,5590.25,147.0,5590.8,73
2025-03-30 17:30:00-05:00,5590.25,5592.0,5590.25,5591.25,395.0,5591.325,142
2025-03-30 17:31:00-05:00,5591.5,5591.75,5590.0,5590.25,264.0,5590.825,79
2025-03-30 17:32:00-05:00,5590.25,5590.75,5588.5,5589.0,353.0,5589.25,167
2025-03-30 17:33:00-05:00,5589.0,5590.5,5589.0,5590.0,347.0,5589.825,111
2025-03-30 17:34:00-05:00,5589.75,5591.5,5589.75,5590.25,184.0,5590.775,75
2025-03-30 17:35:00-05:00,5590.25,5591.75,5590.0,5591.5,283.0,5591.05,105
2025-03-30 17:36:00-05:00,5591.5,5592.0,5590.5,5591.25,165.0,5591.175,78
2025-03-30 17:37:00-05:00,5591.25,5592.5,5591.0,5591.25,277.0,5591.825,108
2025-03-30 17:38:00-05:00,5591.25,5592.25,5591.0,5591.0,187.0,5591.725,78
2025-03-30 17:39:00-05:00,5591.5,5592.25,5591.0,5591.75,76.0,5591.65,48
2025-03-30 17:40:00-05:00,5592.0,5593.75,5591.75,5593.25,338.0,5592.9,177
2025-03-30 17:41:00-05:00,5593.5,5594.0,5593.0,5593.75,301.0,5593.625,131
2025-03-30 17:42:00-05:00,5593.75,5595.75,5593.5,5595.5,532.0,5594.65,208
2025-03-30 17:43:00-05:00,5595.5,5595.75,5594.5,5595.0,497.0,5595.1,187
2025-03-30 17:44:00-05:00,5595.0,5596.0,5594.75,5595.25,239.0,5595.4,97
2025-03-30 17:45:00-05:00,5595.25,5595.25,5594.25,5595.0,399.0,5594.85,148
2025-03-30 17:46:00-05:00,5595.0,5595.5,5594.25,5594.75,283.0,5594.85,128
2025-03-30 17:47:00-05:00,5595.0,5595.5,5594.25,5595.0,248.0,5594.9,83
2025-03-30 17:48:00-05:00,5594.75,5595.25,5594.75,5595.0,55.0,5595.05,28
2025-03-30 17:49:00-05:00,5595.0,5595.5,5594.75,5595.0,49.0,5595.075,25
2025-03-30 17:50:00-05:00,5595.25,5596.0,5595.0,5595.25,187.0,5595.55,50
2025-03-30 17:51:00-05:00,5595.5,5595.75,5594.75,5595.25,194.0,5595.2,60
2025-03-30 17:52:00-05:00,5595.0,5595.75,5594.5,5594.75,188.0,5595.1,65
2025-03-30 17:53:00-05:00,5594.75,5595.0,5594.0,5594.75,179.0,5594.45,84
2025-03-30 17:54:00-05:00,5594.5,5595.0,5594.0,5594.75,135.0,5594.625,48
2025-03-30 17:55:00-05:00,5594.75,5594.75,5593.75,5594.25,176.0,5594.175,79
2025-03-30 17:56:00-05:00,5594.25,5594.75,5593.75,5594.0,169.0,5594.15,65
2025-03-30 17:57:00-05:00,5594.0,5594.0,5593.0,5593.0,250.0,5593.475,133
2025-03-30 17:58:00-05:00,5593.0,5594.25,5592.5,5594.0,409.0,5593.325,172
2025-03-30 17:59:00-05:00,5594.0,5594.5,5593.75,5594.5,85.0,5594.175,49
2025-03-30 18:00:00-05:00,5594.5,5594.75,5593.25,5594.0,196.0,5593.85,90
2025-03-30 18:01:00-05:00,5593.75,5594.0,5592.5,5592.75,191.0,5592.95,95
2025-03-30 18:02:00-05:00,5592.75,5593.0,5592.0,5592.5,221.0,5592.425,119
2025-03-30 18:03:00-05:00,5592.5,5593.75,5592.5,5593.25,135.0,5592.9,62
2025-03-30 18:04:00-05:00,5593.25,5594.5,5593.25,5593.25,200.0,5593.8,69
2025-03-30 18:05:00-05:00,5593.25,5593.5,5591.75,5592.5,224.0,5592.3,112
2025-03-30 18:06:00-05:00,5592.75,5593.25,5592.25,5592.5,183.0,5592.8,58
2025-03-30 18:07:00-05:00,5592.75,5592.75,5592.0,5592.25,138.0,5592.25,61
2025-03-30 18:08:00-05:00,5592.25,5592.75,5591.5,5591.75,182.0,5591.875,85
2025-03-30 18:09:00-05:00,5592.0,5592.75,5591.75,5592.25,121.0,5592.225,38
2025-03-30 18:10:00-05:00,5592.0,5593.5,5592.0,5593.25,132.0,5593.075,66
2025-03-30 18:11:00-05:00,5593.25,5593.5,5592.75,5592.75,84.0,5593.125,39
2025-03-30 18:12:00-05:00,5593.0,5593.0,5592.0,5592.0,84.0,5592.6,38
2025-03-30 18:13:00-05:00,5592.0,5592.25,5591.25,5591.5,245.0,5591.6,109
2025-03-30 18:14:00-05:00,5591.5,5592.0,5590.5,5591.0,350.0,5591.1,123
2025-03-30 18:15:00-05:00,5590.75,5591.25,5589.5,5591.25,410.0,5590.35,177
2025-03-30 18:16:00-05:00,5591.25,5591.75,5590.75,5591.25,131.0,5591.25,74
2025-03-30 18:17:00-05:00,5591.25,5592.0,5591.0,5591.25,129.0,5591.5,66
2025-03-30 18:18:00-05:00,5591.0,5591.25,5590.25,5591.0,138.0,5590.8,66
2025-03-30 18:19:00-05:00,5591.0,5591.0,5590.25,5590.5,64.0,5590.55,43
2025-03-30 18:20:00-05:00,5590.5,5590.5,5588.75,5589.25,543.0,5589.35,251
