date,open,high,low,close,volume,average,barCount
2025-02-13 17:00:00-06:00,6192.0,6192.75,6192.0,6192.75,5.0,6192.45,5
2025-02-13 17:01:00-06:00,6192.75,6192.75,6192.75,6192.75,0.0,6192.75,0
2025-02-13 17:02:00-06:00,6192.75,6192.75,6192.75,6192.75,1.0,6192.75,1
2025-02-13 17:03:00-06:00,6192.75,6192.75,6192.75,6192.75,0.0,6192.75,0
2025-02-13 17:04:00-06:00,6192.75,6192.75,6192.75,6192.75,0.0,6192.75,0
2025-02-13 17:05:00-06:00,6192.75,6192.75,6192.75,6192.75,0.0,6192.75,0
2025-02-13 17:06:00-06:00,6192.75,6192.75,6192.75,6192.75,0.0,6192.75,0
2025-02-13 17:07:00-06:00,6191.75,6191.75,6191.75,6191.75,1.0,6191.75,1
2025-02-13 17:08:00-06:00,6190.75,6190.75,6190.75,6190.75,9.0,6190.75,1
2025-02-13 17:09:00-06:00,6191.0,6191.0,6191.0,6191.0,3.0,6191.0,1
2025-02-13 17:10:00-06:00,6191.0,6191.0,6191.0,6191.0,0.0,6191.0,0
2025-02-13 17:11:00-06:00,6191.5,6191.5,6191.5,6191.5,1.0,6191.5,1
2025-02-13 17:12:00-06:00,6191.5,6191.5,6191.5,6191.5,0.0,6191.5,0
2025-02-13 17:13:00-06:00,6193.5,6193.5,6193.5,6193.5,1.0,6193.5,1
2025-02-13 17:14:00-06:00,6193.75,6193.75,6193.75,6193.75,2.0,6193.75,1
2025-02-13 17:15:00-06:00,6193.75,6193.75,6193.75,6193.75,1.0,6193.75,1
2025-02-13 17:16:00-06:00,6193.75,6193.75,6193.75,6193.75,0.0,6193.75,0
2025-02-13 17:17:00-06:00,6193.75,6193.75,6193.75,6193.75,0.0,6193.75,0
2025-02-13 17:18:00-06:00,6193.75,6193.75,6193.75,6193.75,0.0,6193.75,0
2025-02-13 17:19:00-06:00,6193.75,6193.75,6193.75,6193.75,0.0,6193.75,0
2025-02-13 17:20:00-06:00,6193.75,6193.75,6193.75,6193.75,0.0,6193.75,0
2025-02-13 17:21:00-06:00,6193.75,6193.75,6193.75,6193.75,0.0,6193.75,0
2025-02-13 17:22:00-06:00,6194.75,6194.75,6194.75,6194.75,1.0,6194.75,1
2025-02-13 17:23:00-06:00,6195.25,6195.25,6195.25,6195.25,2.0,6195.25,1
2025-02-13 17:24:00-06:00,6195.25,6195.25,6195.25,6195.25,0.0,6195.25,0
2025-02-13 17:25:00-06:00,6195.25,6195.25,6195.25,6195.25,0.0,6195.25,0
2025-02-13 17:26:00-06:00,6195.25,6195.25,6195.25,6195.25,0.0,6195.25,0
2025-02-13 17:27:00-06:00,6195.25,6195.25,6195.25,6195.25,0.0,6195.25,0
2025-02-13 17:28:00-06:00,6195.25,6195.25,6195.25,6195.25,0.0,6195.25,0
2025-02-13 17:29:00-06:00,6195.25,6195.25,6195.25,6195.25,0.0,6195.25,0
