date,open,high,low,close,volume,average,barCount
2025-04-15 17:00:00-05:00,5406.0,5406.5,5375.0,5378.5,3560.0,5386.2,1591
2025-04-15 17:01:00-05:00,5378.5,5385.25,5376.75,5380.75,1598.0,5381.55,831
2025-04-15 17:02:00-05:00,5380.75,5383.75,5379.0,5379.25,1156.0,5380.8,573
2025-04-15 17:03:00-05:00,5379.5,5383.25,5379.25,5381.5,648.0,5381.55,349
2025-04-15 17:04:00-05:00,5381.5,5386.5,5381.5,5386.0,676.0,5384.55,355
2025-04-15 17:05:00-05:00,5386.25,5387.0,5382.0,5386.25,861.0,5384.425,441
2025-04-15 17:06:00-05:00,5386.5,5390.75,5386.0,5388.0,889.0,5388.175,420
2025-04-15 17:07:00-05:00,5387.5,5392.0,5387.0,5389.5,730.0,5389.525,352
2025-04-15 17:08:00-05:00,5389.75,5389.75,5387.25,5388.25,370.0,5388.5,211
2025-04-15 17:09:00-05:00,5388.5,5389.0,5384.25,5387.25,654.0,5386.175,330
2025-04-15 17:10:00-05:00,5387.25,5389.0,5386.75,5388.5,476.0,5387.875,183
2025-04-15 17:11:00-05:00,5388.25,5388.75,5386.5,5388.75,353.0,5388.05,113
2025-04-15 17:12:00-05:00,5388.25,5388.25,5385.75,5386.0,293.0,5386.825,142
2025-04-15 17:13:00-05:00,5385.75,5387.5,5381.25,5386.5,890.0,5384.45,420
2025-04-15 17:14:00-05:00,5386.25,5388.0,5385.0,5385.75,409.0,5386.6,189
2025-04-15 17:15:00-05:00,5385.75,5387.0,5385.0,5385.25,291.0,5385.8,156
2025-04-15 17:16:00-05:00,5385.75,5387.0,5382.25,5384.0,561.0,5384.525,252
2025-04-15 17:17:00-05:00,5383.5,5386.0,5383.0,5384.5,295.0,5384.675,166
2025-04-15 17:18:00-05:00,5384.5,5388.5,5384.5,5388.25,462.0,5386.9,207
2025-04-15 17:19:00-05:00,5388.0,5391.0,5387.5,5388.5,667.0,5389.4,298
2025-04-15 17:20:00-05:00,5388.5,5389.0,5386.0,5386.5,312.0,5387.325,179
2025-04-15 17:21:00-05:00,5386.5,5387.5,5384.5,5385.0,364.0,5386.075,178
2025-04-15 17:22:00-05:00,5385.0,5388.5,5384.25,5387.75,447.0,5386.175,220
2025-04-15 17:23:00-05:00,5387.5,5389.25,5386.75,5388.25,364.0,5388.25,169
2025-04-15 17:24:00-05:00,5388.25,5388.5,5386.75,5387.25,355.0,5387.35,147
2025-04-15 17:25:00-05:00,5387.0,5388.0,5386.25,5387.5,212.0,5387.125,123
2025-04-15 17:26:00-05:00,5387.25,5388.0,5386.5,5387.0,230.0,5387.325,109
2025-04-15 17:27:00-05:00,5386.75,5387.5,5386.25,5387.0,201.0,5386.95,120
2025-04-15 17:28:00-05:00,5386.75,5393.75,5386.5,5391.75,1352.0,5391.325,577
2025-04-15 17:29:00-05:00,5391.75,5392.25,5390.75,5392.0,547.0,5391.6,253
2025-04-15 17:30:00-05:00,5391.75,5393.25,5391.5,5392.5,504.0,5392.25,222
2025-04-15 17:31:00-05:00,5392.5,5393.0,5391.25,5392.5,310.0,5392.05,162
2025-04-15 17:32:00-05:00,5392.25,5394.5,5392.0,5394.25,426.0,5393.275,184
2025-04-15 17:33:00-05:00,5394.25,5394.75,5392.5,5392.75,475.0,5393.775,240
2025-04-15 17:34:00-05:00,5392.75,5393.25,5391.5,5392.0,313.0,5392.175,166
2025-04-15 17:35:00-05:00,5392.25,5393.5,5391.75,5392.25,271.0,5392.475,129
2025-04-15 17:36:00-05:00,5391.75,5392.0,5387.5,5388.25,794.0,5389.375,333
2025-04-15 17:37:00-05:00,5388.25,5390.25,5388.0,5389.5,323.0,5389.425,165
2025-04-15 17:38:00-05:00,5389.5,5390.75,5389.25,5390.75,288.0,5389.95,146
2025-04-15 17:39:00-05:00,5390.25,5390.5,5389.5,5390.25,278.0,5390.05,122
2025-04-15 17:40:00-05:00,5390.5,5390.5,5389.0,5390.0,181.0,5389.675,108
2025-04-15 17:41:00-05:00,5389.75,5391.5,5389.5,5391.5,317.0,5390.5,161
2025-04-15 17:42:00-05:00,5391.25,5391.75,5390.75,5391.0,328.0,5391.225,138
2025-04-15 17:43:00-05:00,5390.75,5393.25,5390.5,5393.0,372.0,5392.0,165
2025-04-15 17:44:00-05:00,5392.5,5393.25,5390.5,5390.75,426.0,5391.95,166
2025-04-15 17:45:00-05:00,5390.75,5391.5,5390.0,5390.5,330.0,5390.6,124
2025-04-15 17:46:00-05:00,5390.25,5390.75,5388.0,5389.25,414.0,5389.075,192
2025-04-15 17:47:00-05:00,5389.5,5390.0,5388.25,5389.5,202.0,5389.225,82
2025-04-15 17:48:00-05:00,5389.25,5391.5,5388.75,5391.25,275.0,5390.225,122
2025-04-15 17:49:00-05:00,5390.75,5391.25,5390.0,5390.25,182.0,5390.525,80
2025-04-15 17:50:00-05:00,5390.0,5390.5,5388.25,5388.75,213.0,5389.5,92
2025-04-15 17:51:00-05:00,5388.75,5389.0,5387.5,5387.5,350.0,5388.325,149
2025-04-15 17:52:00-05:00,5387.5,5388.75,5386.25,5387.25,329.0,5387.375,183
2025-04-15 17:53:00-05:00,5387.25,5387.25,5385.75,5386.25,379.0,5386.3,197
2025-04-15 17:54:00-05:00,5386.25,5388.25,5385.5,5387.75,348.0,5387.15,172
2025-04-15 17:55:00-05:00,5388.25,5388.75,5387.75,5388.75,247.0,5388.3,105
2025-04-15 17:56:00-05:00,5388.5,5389.0,5387.5,5389.0,258.0,5388.275,85
2025-04-15 17:57:00-05:00,5389.0,5390.0,5388.5,5389.75,179.0,5389.55,97
2025-04-15 17:58:00-05:00,5390.0,5390.75,5389.25,5389.5,299.0,5389.9,136
2025-04-15 17:59:00-05:00,5389.75,5390.0,5389.25,5389.75,150.0,5389.675,68
2025-04-15 18:00:00-05:00,5389.5,5389.75,5386.25,5388.75,991.0,5387.875,494
2025-04-15 18:01:00-05:00,5389.0,5391.75,5389.0,5391.25,414.0,5390.65,217
2025-04-15 18:02:00-05:00,5391.25,5392.25,5389.25,5390.5,531.0,5390.925,213
2025-04-15 18:03:00-05:00,5390.75,5391.0,5389.75,5390.75,292.0,5390.45,84
2025-04-15 18:04:00-05:00,5390.75,5391.0,5388.25,5388.5,235.0,5389.55,125
2025-04-15 18:05:00-05:00,5389.0,5389.0,5386.75,5388.5,463.0,5388.05,188
2025-04-15 18:06:00-05:00,5388.5,5390.0,5386.5,5387.0,399.0,5388.025,162
2025-04-15 18:07:00-05:00,5387.25,5388.0,5386.75,5387.0,157.0,5387.35,79
2025-04-15 18:08:00-05:00,5386.75,5388.0,5386.25,5387.0,308.0,5387.0,126
2025-04-15 18:09:00-05:00,5386.75,5386.75,5384.5,5386.0,627.0,5385.5,255
2025-04-15 18:10:00-05:00,5386.0,5386.75,5384.75,5384.75,198.0,5385.725,113
2025-04-15 18:11:00-05:00,5385.0,5385.75,5384.5,5385.5,238.0,5385.175,108
2025-04-15 18:12:00-05:00,5385.75,5385.75,5382.5,5383.25,616.0,5383.425,310
2025-04-15 18:13:00-05:00,5383.5,5383.75,5382.0,5383.25,358.0,5382.775,186
2025-04-15 18:14:00-05:00,5383.25,5385.75,5383.0,5385.25,380.0,5384.3,192
2025-04-15 18:15:00-05:00,5385.25,5386.5,5384.5,5385.75,290.0,5385.7,146
2025-04-15 18:16:00-05:00,5385.75,5386.25,5385.0,5386.25,209.0,5385.875,93
2025-04-15 18:17:00-05:00,5386.25,5386.75,5385.75,5386.5,191.0,5386.3,108
2025-04-15 18:18:00-05:00,5386.5,5386.75,5385.25,5385.5,164.0,5386.025,81
2025-04-15 18:19:00-05:00,5386.0,5386.75,5385.0,5385.25,229.0,5385.8,107
2025-04-15 18:20:00-05:00,5385.25,5386.25,5384.25,5386.0,269.0,5385.075,142
2025-04-15 18:21:00-05:00,5385.75,5386.0,5384.5,5384.5,177.0,5385.1,91
2025-04-15 18:22:00-05:00,5384.5,5385.5,5383.5,5385.0,304.0,5384.375,137
2025-04-15 18:23:00-05:00,5385.25,5385.5,5384.0,5384.25,173.0,5384.7,84
2025-04-15 18:24:00-05:00,5384.0,5384.75,5382.5,5384.25,392.0,5383.7,196
2025-04-15 18:25:00-05:00,5384.25,5384.25,5382.75,5383.5,165.0,5383.675,77
2025-04-15 18:26:00-05:00,5383.5,5384.5,5382.75,5383.5,275.0,5383.8,106
2025-04-15 18:27:00-05:00,5383.25,5384.0,5382.0,5383.0,323.0,5383.05,150
2025-04-15 18:28:00-05:00,5383.0,5386.0,5382.75,5385.5,411.0,5384.5,162
2025-04-15 18:29:00-05:00,5385.25,5386.0,5384.75,5385.0,147.0,5385.225,77
2025-04-15 18:30:00-05:00,5385.5,5385.5,5384.25,5384.5,117.0,5384.775,75
2025-04-15 18:31:00-05:00,5384.5,5387.0,5384.5,5386.5,468.0,5386.025,173
2025-04-15 18:32:00-05:00,5387.0,5387.0,5384.0,5384.0,398.0,5385.575,164
2025-04-15 18:33:00-05:00,5384.25,5384.25,5383.25,5383.25,206.0,5383.6,129
2025-04-15 18:34:00-05:00,5383.25,5383.75,5382.5,5382.75,332.0,5383.1,139
2025-04-15 18:35:00-05:00,5382.5,5382.5,5377.75,5379.5,1704.0,5380.125,597
2025-04-15 18:36:00-05:00,5379.5,5383.5,5379.5,5383.5,563.0,5381.375,259
2025-04-15 18:37:00-05:00,5383.5,5384.0,5382.0,5383.25,360.0,5383.225,144
2025-04-15 18:38:00-05:00,5383.25,5384.0,5382.5,5382.75,241.0,5383.375,97
2025-04-15 18:39:00-05:00,5382.75,5383.75,5380.5,5381.25,422.0,5382.05,178
2025-04-15 18:40:00-05:00,5381.25,5383.25,5381.25,5382.75,280.0,5382.475,122
2025-04-15 18:41:00-05:00,5383.0,5383.25,5382.5,5383.0,165.0,5382.825,75
2025-04-15 18:42:00-05:00,5383.0,5383.25,5382.5,5382.75,101.0,5382.9,52
2025-04-15 18:43:00-05:00,5382.75,5384.5,5382.25,5384.0,268.0,5383.15,104
2025-04-15 18:44:00-05:00,5384.0,5385.5,5383.5,5384.25,342.0,5384.425,140
2025-04-15 18:45:00-05:00,5384.5,5384.5,5382.25,5383.75,383.0,5383.65,182
2025-04-15 18:46:00-05:00,5383.75,5384.25,5383.0,5383.75,127.0,5383.7,61
2025-04-15 18:47:00-05:00,5384.0,5385.0,5383.25,5383.75,240.0,5384.025,97
2025-04-15 18:48:00-05:00,5383.75,5384.75,5383.5,5384.75,86.0,5384.125,44
2025-04-15 18:49:00-05:00,5384.75,5385.0,5382.5,5384.25,313.0,5383.525,142
2025-04-15 18:50:00-05:00,5384.25,5384.75,5382.5,5383.0,159.0,5383.7,72
2025-04-15 18:51:00-05:00,5382.75,5383.0,5381.0,5381.5,196.0,5382.15,103
2025-04-15 18:52:00-05:00,5381.75,5383.25,5381.25,5381.75,403.0,5381.925,134
2025-04-15 18:53:00-05:00,5381.25,5382.5,5381.25,5382.5,132.0,5381.875,57
2025-04-15 18:54:00-05:00,5382.5,5384.5,5382.25,5384.0,180.0,5383.45,74
2025-04-15 18:55:00-05:00,5384.25,5384.25,5382.75,5383.5,77.0,5383.575,45
2025-04-15 18:56:00-05:00,5383.5,5384.75,5383.5,5384.25,133.0,5384.175,68
2025-04-15 18:57:00-05:00,5384.25,5385.0,5383.5,5384.25,176.0,5384.55,88
2025-04-15 18:58:00-05:00,5384.5,5386.75,5384.25,5386.75,366.0,5386.0,149
2025-04-15 18:59:00-05:00,5386.75,5387.75,5386.0,5386.25,345.0,5387.075,178
2025-04-15 19:00:00-05:00,5386.25,5386.5,5383.25,5384.75,750.0,5384.6,348
2025-04-15 19:01:00-05:00,5384.75,5386.5,5383.25,5386.0,398.0,5384.5,187
2025-04-15 19:02:00-05:00,5386.25,5388.5,5386.25,5387.5,491.0,5387.65,248
2025-04-15 19:03:00-05:00,5387.25,5388.0,5385.0,5386.25,427.0,5386.65,163
2025-04-15 19:04:00-05:00,5386.0,5387.75,5385.5,5386.25,253.0,5386.5,114
2025-04-15 19:05:00-05:00,5386.5,5387.25,5383.25,5384.0,377.0,5384.425,167
2025-04-15 19:06:00-05:00,5384.0,5384.0,5379.0,5381.25,680.0,5381.35,325
2025-04-15 19:07:00-05:00,5381.25,5382.0,5379.75,5379.75,304.0,5381.3,141
2025-04-15 19:08:00-05:00,5379.75,5380.75,5377.25,5380.75,681.0,5378.925,320
2025-04-15 19:09:00-05:00,5380.5,5383.0,5379.5,5382.5,605.0,5381.6,215
2025-04-15 19:10:00-05:00,5382.25,5383.75,5381.5,5383.0,244.0,5382.6,137
2025-04-15 19:11:00-05:00,5383.25,5383.25,5381.75,5381.75,208.0,5382.6,96
2025-04-15 19:12:00-05:00,5382.0,5382.0,5378.75,5379.0,411.0,5380.325,207
2025-04-15 19:13:00-05:00,5378.75,5380.25,5377.25,5377.75,331.0,5378.825,150
2025-04-15 19:14:00-05:00,5378.0,5378.5,5376.75,5377.5,455.0,5377.4,229
2025-04-15 19:15:00-05:00,5377.75,5378.75,5377.0,5378.0,566.0,5377.85,221
2025-04-15 19:16:00-05:00,5378.0,5380.0,5377.0,5380.0,365.0,5378.475,167
2025-04-15 19:17:00-05:00,5380.0,5380.0,5378.25,5379.0,194.0,5379.2,103
2025-04-15 19:18:00-05:00,5379.0,5379.5,5377.25,5377.5,284.0,5378.525,94
2025-04-15 19:19:00-05:00,5377.75,5379.0,5377.5,5378.5,295.0,5378.175,99
2025-04-15 19:20:00-05:00,5378.5,5379.25,5376.5,5378.75,347.0,5377.675,148
2025-04-15 19:21:00-05:00,5378.5,5379.0,5378.0,5378.25,168.0,5378.55,77
2025-04-15 19:22:00-05:00,5378.25,5379.5,5377.75,5379.25,264.0,5378.5,97
2025-04-15 19:23:00-05:00,5379.0,5379.25,5378.0,5378.5,166.0,5378.7,81
2025-04-15 19:24:00-05:00,5378.5,5379.25,5378.0,5379.25,203.0,5378.65,79
2025-04-15 19:25:00-05:00,5379.5,5379.75,5375.75,5377.75,401.0,5377.625,190
2025-04-15 19:26:00-05:00,5378.0,5378.5,5376.25,5376.75,187.0,5377.575,98
2025-04-15 19:27:00-05:00,5376.75,5378.25,5376.0,5378.0,183.0,5377.375,101
2025-04-15 19:28:00-05:00,5378.25,5379.0,5376.25,5377.5,151.0,5377.725,61
2025-04-15 19:29:00-05:00,5377.0,5379.25,5377.0,5378.75,196.0,5378.25,86
2025-04-15 19:30:00-05:00,5378.75,5378.75,5376.75,5377.0,140.0,5377.45,66
2025-04-15 19:31:00-05:00,5377.0,5377.25,5375.0,5376.0,534.0,5375.9,242
2025-04-15 19:32:00-05:00,5376.5,5376.75,5375.75,5376.25,142.0,5376.3,87
2025-04-15 19:33:00-05:00,5376.25,5376.25,5370.75,5371.75,1902.0,5373.275,834
2025-04-15 19:34:00-05:00,5371.5,5373.5,5367.25,5372.75,1222.0,5370.775,544
2025-04-15 19:35:00-05:00,5372.5,5373.5,5371.5,5372.0,337.0,5372.725,166
2025-04-15 19:36:00-05:00,5372.25,5373.5,5371.25,5373.25,397.0,5372.45,168
2025-04-15 19:37:00-05:00,5373.5,5374.75,5371.5,5373.25,489.0,5373.2,209
2025-04-15 19:38:00-05:00,5373.0,5375.75,5373.0,5374.5,443.0,5375.0,176
2025-04-15 19:39:00-05:00,5375.0,5376.25,5374.0,5375.5,252.0,5375.275,136
2025-04-15 19:40:00-05:00,5375.25,5377.25,5375.0,5375.75,453.0,5376.2,201
2025-04-15 19:41:00-05:00,5375.5,5375.75,5372.75,5374.75,435.0,5374.225,223
2025-04-15 19:42:00-05:00,5375.0,5375.0,5373.25,5374.25,273.0,5374.1,124
2025-04-15 19:43:00-05:00,5374.75,5375.0,5372.0,5374.0,560.0,5373.325,225
2025-04-15 19:44:00-05:00,5374.5,5375.25,5373.5,5373.75,313.0,5374.25,129
2025-04-15 19:45:00-05:00,5373.5,5375.75,5373.5,5375.0,190.0,5374.775,112
2025-04-15 19:46:00-05:00,5375.0,5377.0,5374.75,5374.75,287.0,5376.05,156
2025-04-15 19:47:00-05:00,5375.0,5375.75,5374.5,5374.75,90.0,5375.075,49
2025-04-15 19:48:00-05:00,5374.5,5375.25,5373.5,5374.75,176.0,5374.125,98
2025-04-15 19:49:00-05:00,5374.75,5375.75,5374.5,5375.75,177.0,5375.15,84
2025-04-15 19:50:00-05:00,5375.5,5380.5,5375.5,5379.5,830.0,5378.775,395
2025-04-15 19:51:00-05:00,5379.75,5380.5,5379.0,5379.25,351.0,5379.75,147
2025-04-15 19:52:00-05:00,5379.75,5380.25,5379.0,5379.0,186.0,5379.55,97
2025-04-15 19:53:00-05:00,5379.0,5379.5,5378.25,5378.75,232.0,5378.825,109
2025-04-15 19:54:00-05:00,5378.75,5379.0,5378.0,5378.5,180.0,5378.45,73
2025-04-15 19:55:00-05:00,5378.25,5379.5,5378.0,5379.5,242.0,5379.025,112
2025-04-15 19:56:00-05:00,5379.25,5381.0,5378.5,5378.75,344.0,5379.975,168
2025-04-15 19:57:00-05:00,5378.75,5379.25,5378.0,5378.0,244.0,5378.75,101
2025-04-15 19:58:00-05:00,5378.0,5379.25,5374.25,5378.75,624.0,5376.65,331
2025-04-15 19:59:00-05:00,5378.75,5380.0,5377.5,5377.75,306.0,5378.725,152
2025-04-15 20:00:00-05:00,5378.0,5380.25,5377.75,5378.25,596.0,5379.2,267
2025-04-15 20:01:00-05:00,5378.0,5379.75,5378.0,5378.75,195.0,5378.95,76
2025-04-15 20:02:00-05:00,5379.25,5380.25,5378.75,5378.75,111.0,5379.4,63
2025-04-15 20:03:00-05:00,5378.75,5380.0,5378.75,5379.25,141.0,5379.45,72
2025-04-15 20:04:00-05:00,5379.25,5380.25,5378.75,5379.5,289.0,5379.475,132
2025-04-15 20:05:00-05:00,5379.5,5380.5,5379.0,5379.5,242.0,5379.8,106
2025-04-15 20:06:00-05:00,5379.5,5381.75,5379.0,5381.25,350.0,5380.85,181
2025-04-15 20:07:00-05:00,5381.25,5381.75,5380.25,5380.5,266.0,5381.0,96
2025-04-15 20:08:00-05:00,5380.75,5382.5,5380.25,5382.0,286.0,5381.575,128
2025-04-15 20:09:00-05:00,5381.5,5382.0,5380.75,5381.5,164.0,5381.35,84
2025-04-15 20:10:00-05:00,5381.75,5382.5,5381.25,5381.75,266.0,5382.0,109
2025-04-15 20:11:00-05:00,5381.5,5382.75,5381.25,5382.0,178.0,5382.05,121
2025-04-15 20:12:00-05:00,5381.5,5383.25,5381.5,5383.0,278.0,5382.45,127
2025-04-15 20:13:00-05:00,5383.0,5384.5,5381.75,5382.5,448.0,5383.2,190
2025-04-15 20:14:00-05:00,5382.25,5383.25,5382.0,5383.25,129.0,5382.8,73
