date,open,high,low,close,volume,average,barCount
2025-01-23 17:00:00-06:00,6208.5,6208.5,6208.5,6208.5,1.0,6208.5,1
2025-01-23 17:01:00-06:00,6205.25,6205.25,6205.0,6205.0,3.0,6205.075,3
2025-01-23 17:02:00-06:00,6205.0,6205.0,6205.0,6205.0,0.0,6205.0,0
2025-01-23 17:03:00-06:00,6205.0,6205.0,6205.0,6205.0,0.0,6205.0,0
2025-01-23 17:04:00-06:00,6205.0,6205.0,6205.0,6205.0,0.0,6205.0,0
2025-01-23 17:05:00-06:00,6205.0,6205.0,6205.0,6205.0,0.0,6205.0,0
2025-01-23 17:06:00-06:00,6205.0,6205.0,6205.0,6205.0,0.0,6205.0,0
2025-01-23 17:07:00-06:00,6205.0,6205.0,6205.0,6205.0,0.0,6205.0,0
2025-01-23 17:08:00-06:00,6205.0,6205.0,6205.0,6205.0,0.0,6205.0,0
2025-01-23 17:09:00-06:00,6205.0,6205.0,6205.0,6205.0,0.0,6205.0,0
2025-01-23 17:10:00-06:00,6205.0,6205.0,6205.0,6205.0,1.0,6205.0,1
2025-01-23 17:11:00-06:00,6205.0,6205.0,6205.0,6205.0,0.0,6205.0,0
2025-01-23 17:12:00-06:00,6205.0,6205.0,6205.0,6205.0,0.0,6205.0,0
2025-01-23 17:13:00-06:00,6205.0,6205.0,6205.0,6205.0,0.0,6205.0,0
2025-01-23 17:14:00-06:00,6205.0,6205.0,6205.0,6205.0,0.0,6205.0,0
2025-01-23 17:15:00-06:00,6205.0,6205.0,6205.0,6205.0,0.0,6205.0,0
2025-01-23 17:16:00-06:00,6205.0,6205.0,6205.0,6205.0,0.0,6205.0,0
2025-01-23 17:17:00-06:00,6205.0,6205.0,6205.0,6205.0,0.0,6205.0,0
2025-01-23 17:18:00-06:00,6204.5,6204.5,6204.5,6204.5,1.0,6204.5,1
2025-01-23 17:19:00-06:00,6204.5,6204.5,6204.5,6204.5,0.0,6204.5,0
2025-01-23 17:20:00-06:00,6204.5,6204.5,6204.5,6204.5,0.0,6204.5,0
