date,open,high,low,close,volume,average,barCount
2025-05-18 17:00:00-05:00,5930.5,5940.5,5917.75,5935.0,3336.0,5929.15,1668
2025-05-18 17:01:00-05:00,5935.0,5937.0,5930.25,5931.0,1113.0,5933.9,663
2025-05-18 17:02:00-05:00,5930.75,5933.25,5925.75,5926.75,1020.0,5928.95,556
2025-05-18 17:03:00-05:00,5926.25,5933.5,5925.5,5932.25,898.0,5930.125,557
2025-05-18 17:04:00-05:00,5932.25,5937.75,5931.0,5934.25,1166.0,5935.125,578
2025-05-18 17:05:00-05:00,5934.0,5934.75,5931.75,5933.25,644.0,5933.225,343
2025-05-18 17:06:00-05:00,5932.75,5938.75,5932.5,5936.75,771.0,5936.4,386
2025-05-18 17:07:00-05:00,5937.0,5938.0,5936.0,5936.75,462.0,5937.225,218
2025-05-18 17:08:00-05:00,5936.5,5938.75,5936.5,5936.75,390.0,5937.575,197
2025-05-18 17:09:00-05:00,5937.25,5938.0,5936.25,5938.0,352.0,5937.125,153
2025-05-18 17:10:00-05:00,5938.0,5938.25,5935.75,5936.0,553.0,5936.725,225
2025-05-18 17:11:00-05:00,5936.0,5936.25,5931.75,5933.0,940.0,5933.775,400
2025-05-18 17:12:00-05:00,5933.0,5933.25,5931.0,5931.75,474.0,5931.8,196
2025-05-18 17:13:00-05:00,5931.5,5931.5,5929.0,5929.75,712.0,5929.95,299
2025-05-18 17:14:00-05:00,5929.75,5931.0,5929.25,5929.5,505.0,5930.05,225
2025-05-18 17:15:00-05:00,5929.25,5929.75,5928.0,5929.0,575.0,5928.775,212
2025-05-18 17:16:00-05:00,5929.25,5930.0,5928.0,5929.75,517.0,5929.1,193
2025-05-18 17:17:00-05:00,5929.75,5931.0,5929.25,5929.5,375.0,5930.075,149
2025-05-18 17:18:00-05:00,5929.75,5929.75,5927.25,5927.75,402.0,5928.25,202
2025-05-18 17:19:00-05:00,5927.75,5930.75,5927.5,5930.5,454.0,5929.075,184
2025-05-18 17:20:00-05:00,5930.25,5933.0,5930.25,5932.75,627.0,5932.05,274
2025-05-18 17:21:00-05:00,5932.75,5933.75,5932.5,5933.0,430.0,5933.25,186
2025-05-18 17:22:00-05:00,5932.75,5934.25,5932.5,5934.25,261.0,5933.575,129
2025-05-18 17:23:00-05:00,5934.0,5934.75,5934.0,5934.5,459.0,5934.45,158
2025-05-18 17:24:00-05:00,5934.25,5934.75,5934.0,5934.25,193.0,5934.275,74
2025-05-18 17:25:00-05:00,5934.5,5934.75,5934.0,5934.25,216.0,5934.3,86
2025-05-18 17:26:00-05:00,5934.0,5934.5,5933.5,5933.75,183.0,5934.0,97
2025-05-18 17:27:00-05:00,5933.75,5934.25,5932.5,5933.25,203.0,5933.35,97
2025-05-18 17:28:00-05:00,5933.5,5934.5,5931.75,5932.0,491.0,5933.025,189
2025-05-18 17:29:00-05:00,5932.0,5932.25,5930.75,5931.75,394.0,5931.35,196
2025-05-18 17:30:00-05:00,5931.5,5931.75,5928.5,5930.0,885.0,5929.55,280
2025-05-18 17:31:00-05:00,5930.0,5930.25,5928.5,5930.0,204.0,5929.3,89
2025-05-18 17:32:00-05:00,5930.0,5934.25,5930.0,5933.75,515.0,5932.425,233
2025-05-18 17:33:00-05:00,5934.0,5934.75,5933.0,5933.5,356.0,5934.15,164
2025-05-18 17:34:00-05:00,5933.25,5934.25,5932.5,5934.0,170.0,5933.275,103
2025-05-18 17:35:00-05:00,5934.25,5934.25,5932.0,5933.0,288.0,5933.125,134
2025-05-18 17:36:00-05:00,5933.0,5933.75,5931.5,5931.75,234.0,5932.275,103
