date,open,high,low,close,volume,average,barCount
2025-03-18 17:00:00-05:00,5669.75,5670.5,5668.25,5668.75,426.0,5669.5,172
2025-03-18 17:01:00-05:00,5668.75,5669.25,5667.25,5669.0,1008.0,5668.05,282
2025-03-18 17:02:00-05:00,5669.0,5669.75,5668.5,5668.5,220.0,5669.225,72
2025-03-18 17:03:00-05:00,5668.5,5670.75,5668.5,5670.25,723.0,5669.8,166
2025-03-18 17:04:00-05:00,5670.0,5670.25,5669.25,5669.75,109.0,5669.875,35
2025-03-18 17:05:00-05:00,5669.5,5670.0,5668.0,5668.75,157.0,5668.85,71
2025-03-18 17:06:00-05:00,5668.5,5669.0,5667.5,5667.5,165.0,5668.15,46
2025-03-18 17:07:00-05:00,5667.5,5668.75,5667.0,5668.0,248.0,5667.825,83
2025-03-18 17:08:00-05:00,5668.0,5669.0,5668.0,5668.0,107.0,5668.325,42
2025-03-18 17:09:00-05:00,5667.75,5668.5,5667.75,5668.0,34.0,5668.1,20
2025-03-18 17:10:00-05:00,5667.5,5668.0,5667.25,5668.0,48.0,5667.575,30
2025-03-18 17:11:00-05:00,5668.25,5668.25,5668.0,5668.0,49.0,5668.1,21
2025-03-18 17:12:00-05:00,5668.0,5668.75,5666.5,5667.0,360.0,5667.825,101
2025-03-18 17:13:00-05:00,5667.0,5667.75,5664.75,5664.75,357.0,5666.375,124
2025-03-18 17:14:00-05:00,5664.75,5665.0,5663.25,5664.5,340.0,5664.1,141
2025-03-18 17:15:00-05:00,5664.75,5665.0,5664.25,5664.5,98.0,5664.6,50
2025-03-18 17:16:00-05:00,5664.5,5664.75,5663.5,5664.75,146.0,5664.1,48
2025-03-18 17:17:00-05:00,5664.75,5665.25,5664.5,5665.25,125.0,5664.825,47
2025-03-18 17:18:00-05:00,5665.25,5665.75,5665.0,5665.75,93.0,5665.4,46
2025-03-18 17:19:00-05:00,5665.75,5665.75,5663.75,5663.75,106.0,5664.75,49
2025-03-18 17:20:00-05:00,5664.0,5664.75,5664.0,5664.0,135.0,5664.325,41
2025-03-18 17:21:00-05:00,5663.75,5664.25,5663.75,5664.25,33.0,5664.05,22
2025-03-18 17:22:00-05:00,5664.25,5664.75,5664.25,5664.5,32.0,5664.5,19
2025-03-18 17:23:00-05:00,5665.0,5665.5,5664.75,5665.25,62.0,5665.2,37
2025-03-18 17:24:00-05:00,5665.5,5665.75,5665.25,5665.75,99.0,5665.45,38
2025-03-18 17:25:00-05:00,5665.5,5665.75,5665.5,5665.5,86.0,5665.55,31
2025-03-18 17:26:00-05:00,5665.75,5665.75,5665.25,5665.5,34.0,5665.45,14
2025-03-18 17:27:00-05:00,5665.25,5665.25,5663.0,5663.25,316.0,5664.325,124
2025-03-18 17:28:00-05:00,5663.5,5664.0,5661.0,5661.75,732.0,5662.05,247
2025-03-18 17:29:00-05:00,5661.75,5662.25,5660.75,5661.0,554.0,5661.5,171
2025-03-18 17:30:00-05:00,5661.0,5662.25,5660.75,5662.0,271.0,5661.4,118
2025-03-18 17:31:00-05:00,5661.75,5662.25,5661.25,5661.5,179.0,5661.825,56
2025-03-18 17:32:00-05:00,5662.0,5662.75,5662.0,5662.0,135.0,5662.2,51
2025-03-18 17:33:00-05:00,5662.25,5663.5,5662.25,5662.75,201.0,5662.95,68
2025-03-18 17:34:00-05:00,5662.75,5663.75,5662.75,5663.5,49.0,5663.35,25
2025-03-18 17:35:00-05:00,5663.5,5664.0,5663.25,5663.75,79.0,5663.65,41
2025-03-18 17:36:00-05:00,5664.0,5665.0,5664.0,5664.5,149.0,5664.45,62
2025-03-18 17:37:00-05:00,5664.0,5664.0,5663.25,5663.75,72.0,5663.65,32
2025-03-18 17:38:00-05:00,5663.5,5664.0,5663.5,5664.0,63.0,5663.9,21
2025-03-18 17:39:00-05:00,5664.0,5664.5,5663.75,5664.25,59.0,5664.275,27
2025-03-18 17:40:00-05:00,5664.5,5665.5,5664.5,5665.25,94.0,5665.15,45
2025-03-18 17:41:00-05:00,5665.25,5666.25,5665.0,5666.0,175.0,5665.625,64
2025-03-18 17:42:00-05:00,5665.75,5666.5,5665.5,5666.25,136.0,5665.975,48
2025-03-18 17:43:00-05:00,5666.5,5666.5,5665.5,5665.5,84.0,5666.0,36
2025-03-18 17:44:00-05:00,5665.75,5668.25,5665.75,5667.75,353.0,5667.025,122
2025-03-18 17:45:00-05:00,5667.75,5669.0,5667.25,5668.5,224.0,5668.175,97
2025-03-18 17:46:00-05:00,5668.25,5670.25,5668.25,5668.75,383.0,5669.325,135
2025-03-18 17:47:00-05:00,5668.75,5670.0,5668.75,5669.25,106.0,5669.4,47
2025-03-18 17:48:00-05:00,5669.25,5670.0,5669.0,5669.75,78.0,5669.575,34
2025-03-18 17:49:00-05:00,5669.75,5670.0,5669.25,5669.5,92.0,5669.5,34
2025-03-18 17:50:00-05:00,5669.5,5670.0,5669.25,5669.75,74.0,5669.775,33
2025-03-18 17:51:00-05:00,5669.5,5670.75,5669.5,5670.5,127.0,5670.375,52
2025-03-18 17:52:00-05:00,5670.25,5671.0,5670.25,5671.0,87.0,5670.625,50
2025-03-18 17:53:00-05:00,5670.75,5672.75,5670.75,5672.5,211.0,5671.575,84
2025-03-18 17:54:00-05:00,5672.5,5673.0,5672.0,5672.25,125.0,5672.55,71
2025-03-18 17:55:00-05:00,5672.25,5673.5,5672.25,5673.0,187.0,5672.775,79
2025-03-18 17:56:00-05:00,5673.0,5673.5,5672.0,5672.0,175.0,5672.65,74
2025-03-18 17:57:00-05:00,5672.25,5672.75,5671.75,5672.25,117.0,5672.075,46
2025-03-18 17:58:00-05:00,5672.0,5672.0,5670.0,5670.75,318.0,5670.75,118
2025-03-18 17:59:00-05:00,5670.75,5671.0,5670.25,5670.75,82.0,5670.75,41
2025-03-18 18:00:00-05:00,5670.5,5672.5,5670.5,5672.0,180.0,5671.975,72
2025-03-18 18:01:00-05:00,5672.25,5673.25,5672.25,5672.5,151.0,5672.775,66
2025-03-18 18:02:00-05:00,5672.5,5673.5,5672.5,5672.75,101.0,5672.875,40
2025-03-18 18:03:00-05:00,5672.75,5673.25,5672.25,5673.0,50.0,5672.7,30
2025-03-18 18:04:00-05:00,5672.75,5673.0,5672.25,5672.5,34.0,5672.675,25
2025-03-18 18:05:00-05:00,5672.75,5673.0,5672.5,5672.5,87.0,5672.75,35
2025-03-18 18:06:00-05:00,5672.25,5672.5,5671.5,5672.25,114.0,5672.025,53
2025-03-18 18:07:00-05:00,5672.0,5672.25,5671.75,5672.0,47.0,5672.05,26
2025-03-18 18:08:00-05:00,5671.75,5672.0,5670.75,5671.5,122.0,5671.4,54
2025-03-18 18:09:00-05:00,5671.75,5672.0,5671.75,5672.0,25.0,5671.9,17
2025-03-18 18:10:00-05:00,5671.75,5672.5,5671.75,5672.0,68.0,5672.225,20
2025-03-18 18:11:00-05:00,5672.0,5672.25,5671.75,5671.75,45.0,5671.9,16
2025-03-18 18:12:00-05:00,5672.0,5672.75,5671.75,5672.0,162.0,5672.3,53
2025-03-18 18:13:00-05:00,5672.0,5673.0,5672.0,5672.25,51.0,5672.525,25
2025-03-18 18:14:00-05:00,5672.25,5672.5,5672.0,5672.0,26.0,5672.225,17
2025-03-18 18:15:00-05:00,5671.75,5671.75,5668.5,5669.25,405.0,5669.95,142
2025-03-18 18:16:00-05:00,5669.5,5669.75,5668.5,5668.5,217.0,5669.0,88
2025-03-18 18:17:00-05:00,5668.5,5669.5,5668.25,5669.25,46.0,5669.025,21
2025-03-18 18:18:00-05:00,5669.0,5669.75,5669.0,5669.75,31.0,5669.325,14
2025-03-18 18:19:00-05:00,5669.75,5670.25,5669.25,5669.75,71.0,5669.875,47
2025-03-18 18:20:00-05:00,5669.75,5670.25,5669.0,5669.25,112.0,5669.65,28
2025-03-18 18:21:00-05:00,5669.25,5669.25,5667.5,5668.0,216.0,5668.025,102
2025-03-18 18:22:00-05:00,5668.0,5668.5,5667.0,5667.25,168.0,5667.725,79
2025-03-18 18:23:00-05:00,5667.25,5669.0,5667.25,5668.25,145.0,5668.2,70
2025-03-18 18:24:00-05:00,5668.25,5669.0,5668.0,5668.75,61.0,5668.525,39
2025-03-18 18:25:00-05:00,5668.5,5669.25,5668.5,5668.75,44.0,5668.875,26
2025-03-18 18:26:00-05:00,5668.75,5669.25,5668.75,5668.75,52.0,5668.95,21
2025-03-18 18:27:00-05:00,5669.0,5669.75,5669.0,5669.5,64.0,5669.325,27
2025-03-18 18:28:00-05:00,5669.5,5670.5,5669.25,5670.25,98.0,5669.9,48
2025-03-18 18:29:00-05:00,5669.75,5669.75,5668.25,5669.0,133.0,5669.05,49
2025-03-18 18:30:00-05:00,5668.75,5669.5,5668.0,5668.0,72.0,5668.325,32
2025-03-18 18:31:00-05:00,5668.0,5668.5,5667.5,5668.5,39.0,5668.15,26
2025-03-18 18:32:00-05:00,5668.5,5669.75,5668.5,5669.5,58.0,5669.325,27
